Rank,Fragment SMILES,Score
410,*c1cccc(CC(=O)O)c1,0.5123885273933411
411,*c1sc2ccccc2c1C,0.512360692024231
412,*n1cnc2c1NCNC2N,0.5122905969619751
413,*c1ccc(CC(=O)OC)cc1,0.5121707916259766
414,*C1CCOc2ccccc21,0.5121666789054871
415,*NCC1Cc2ccccc2O1,0.5121319890022278
416,*NCc1cccc2occc12,0.5119890570640564
417,*c1ccc(OC(F)F)cc1,0.5118523836135864
418,*c1cccc(OC(C)C)c1,0.5118505358695984
419,*c1cccc2[nH]ncc12,0.5116143226623535
420,*c1c(C)cc(N)cc1C,0.5114299654960632
421,*c1c(O)ccc2ccccc12,0.511401355266571
422,*CC1c2ccccc2CC1O,0.5113877654075623
423,*Cc1c[nH]c2ccccc12,0.5113736987113953
424,*c1nn(C)c2ccccc12,0.5111724138259888
425,*c1ccc(O)c(O)c1,0.5109252333641052
426,*c1cccc(Cl)c1F,0.510806143283844
427,*c1cncc(C(=O)OC)c1,0.5107918381690979
428,*c1nc2ccc(F)nc2[nH]1,0.5107533931732178
429,*c1ccc(C(O)OC)cc1,0.5104250907897949
430,*N1C(=O)c2ccccc2C1=O,0.5098114013671875
431,*c1ccccc1C(=O)OC,0.509811282157898
432,*c1c[nH]c2ccccc12,0.5095735788345337
433,*c1nc2ccc(C)cc2s1,0.5095721483230591
434,*c1cccc(C#CCOC)c1,0.5095586776733398
435,*c1c(F)cccc1OC,0.5095045566558838
436,*Oc1ccc2[nH]c(=O)[nH]c2c1,0.5093843340873718
437,*c1ccc(O)cc1O,0.509284496307373
438,*c1ccc(CCCF)cc1,0.5090522766113281
439,*c1ccc2c(c1)CCC2,0.5088025331497192
440,*c1ccc2[nH]ncc2c1,0.5085809826850891
441,*Oc1cccc2cccnc12,0.5085573792457581
442,*c1cc2ccccc2n1C,0.5085365176200867
443,*CN1CCc2ccccc21,0.5084288120269775
444,*c1c(C)cc(C#N)cc1C,0.508078396320343
445,*Cc1c[nH]c2ncccc12,0.5079651474952698
446,*c1ccc(Cl)c(Cl)c1,0.507942259311676
447,*c1ccc(C2CC2)cc1,0.5076408982276917
448,*Oc1ccc2cccnc2c1,0.5070124864578247
